Token Id,Game Lock,Lifecycle,Class,Origin,Birthday,Breeding Points,Attack,Accuracy,Movement Speed,Attack Speed,Defense,Vitality,Resistance,Magic,Mythic,Body,Face,Horn,Hooves,Mane,Tail
5857,Unlocked,Adult,Cloud,1,1638704378,8,186,175,128,204,128,128,136,123,,Fluffy Snow,Stormy Horizon,Snowman Carrot,Ground Storm,Blue Cloud,Golden Sun
5699,Unlocked,Adult,Candy,1,1638703352,8,148,112,217,145,151,235,178,112,Single Mythic,Caramel Nougat,Sweet Smugness,Mint Chocolate,Caramel Nougat,Graham Cracker,Gummy Bear
5796,Unlocked,Adult,Heart,1,1638703430,8,136,151,140,182,144,112,188,140,,Pink Stripe,Haughty Huff,Violet Rune,Pink Smooth,Violet Braid,Purple Wizard
5878,Unlocked,Adult,Candy,1,1638703858,8,142,134,180,112,151,213,151,112,,Blueberry Swirl,Sweet Smugness,Strawberry Icecream,Pink Sprinkles,Strawberry Chocolate,Strawberry Chocolate
6048,Unlocked,Adult,Candy,1,1638703476,8,136,117,169,134,112,189,150,123,,Blueberry Swirl,Sweet Smugness,Strawberry Chocolate,Blueberry Swirl,Strawberry Chocolate,Mint Chocolate
6035,Unlocked,Adult,Moon,1,1638703754,8,128,128,236,134,191,136,112,198,,Blue Moonspot,Blasting Boldness,Purple Alien,Red Laser,Gray Crater,Green Moonrock
6000,Unlocked,Adult,Moon,1,1638703520,8,112,151,149,112,151,148,112,179,,Green Laser,Vexed Voltage,Bronze Antenna,Blue Moonrock,Yellow Moonrock,Yellow Crater
5820,Unlocked,Adult,Flower,1,1638703446,8,155,123,209,158,123,162,140,133,,Autumn Leaf,Shady Sad,Red Oak,Spring Leaf,Brown Bark,Red Bloom
5930,Unlocked,Adult,Cloud,1,1638703414,8,207,134,151,208,128,145,154,128,,Bright Lightning,Stormy Horizon,Snowman Carrot,Thunder Storm,Blue Cloud,Golden Sun
5999,Unlocked,Adult,Crystal,1,1638703516,8,123,123,171,123,195,208,128,136,,Pink Shatter,Stony Indifference,Turquoise Node,Turquoise Pattern,Turquoise Shale,Purple Node
5895,Unlocked,Adult,Moon,1,1638703278,8,128,112,182,123,201,136,117,181,,Green Laser,Blasting Boldness,Green Alien,Gray Laser,Gray Crater,Blue Tentacle
5972,Unlocked,Adult,Flower,1,1638703938,8,209,112,297,171,145,209,112,141,,Autumn Leaf,Fragrant Suave,Yellow Thorn,Spring Leaf,Red Bark,Green Bush
5938,Unlocked,Adult,Candy,1,1638703332,8,184,123,205,112,112,234,165,123,,Pink Nougat,Sweet Beaming,Chocolate Icecream,Caramel Chocolate,Mint Chocolate,Graham Cracker
6023,Unlocked,Adult,Moon,1,1638703506,8,123,123,178,123,187,183,134,164,,Turquoise Moonspot,Cosmic Cheer,Purple Alien,Blue Moonrock,Green Tentacle,Silver Antenna
5816,Unlocked,Adult,Crystal,1,1638703382,8,123,134,202,123,151,199,117,155,,Blue Shatter,Stony Indifference,Turquoise Node,Purple Stone,Turquoise Shale,Turquoise Geode
5660,Unlocked,Adult,Cloud,1,1638703954,8,216,165,134,182,134,134,149,112,,Night Ice,Dumping Raincloud,Solid Ice,Ground Storm,White Cloud,Dark Cloud
5828,Unlocked,Adult,Flower,1,1638703592,8,123,117,305,227,112,117,112,177,,Green Meadow,Stout Determined,Brown Thorn,Orange Blossom,Green Blade,Green Bush
5906,Unlocked,Adult,Heart,1,1638703304,8,136,128,134,174,217,112,193,123,Single Mythic,Pink Bow,Ultimate Princess,Yellow Whisp,Pink Bow,Orange Cowlick,Purple Wizard
5905,Unlocked,Adult,Heart,1,1638703300,8,176,112,140,212,194,128,185,117,,Pink Bow,Jazzy Vibes,Red Fossil,Pink Spot,Sunny Braid,Pink Braid
5934,Unlocked,Adult,Cloud,1,1638704670,7,261,205,112,189,123,123,168,123,Single Mythic,Day Ice,Stormy Horizon,Dark Lightning,Day Ice,Thunder God,Golden Sun
5768,Unlocked,Adult,Heart,1,1638703488,8,170,134,112,186,180,145,193,112,,Pink Bow,Jazzy Vibes,Yellow Whisp,Lavender Smooth,Orange Cowlick,Pink Puff
5994,Unlocked,Adult,Cloud,1,1638704064,8,197,181,134,206,112,112,156,128,,Night Ice,Fluffy Smile,Snowman Carrot,Night Rain,Dark Cloud,Shatter Ice
5893,Unlocked,Adult,Flower,1,1638703272,8,147,151,158,158,112,123,134,131,,Green Oak,Fragrant Suave,Pink Poppy,Autumn Leaf,Green Frond,Red Bloom
5698,Unlocked,Adult,Flower,1,1638703348,8,184,140,261,138,117,184,123,148,,Autumn Leaf,Blossoming Smile,Green Oak,Spring Leaf,Yellow Blade,Yellow Needle
5880,Unlocked,Adult,Candy,1,1638703864,8,143,112,200,128,112,244,210,112,,Caramel Nougat,Sweet Beaming,Chocolate Icecream,Caramel Chocolate,Strawberry Chocolate,Yellow Whip
5794,Unlocked,Adult,Moon,1,1638703424,8,112,128,218,123,158,224,117,196,,Green Laser,Blasting Boldness,Bronze Antenna,Red Laser,Red Flame,Gray Crater
5918,Unlocked,Adult,Heart,1,1638703638,8,195,117,112,196,163,117,261,112,,Green Bow,Radiant Joy,Red Fossil,Orange Spot,Pink Frame,Violet Braid
5785,Unlocked,Adult,Flower,1,1638703720,8,155,123,235,170,140,155,117,181,Single Mythic,Green Oak,Blossoming Smile,Red Oak,Fairy Flower,Red Frond,Green Bush
5759,Unlocked,Adult,Candy,1,1638703846,8,207,128,183,134,128,202,126,112,,Blueberry Swirl,Glazed Smooth,Strawberry Icecream,Mint Chocolate,Caramel Chocolate,Pink Whip
5894,Unlocked,Adult,Heart,1,1638703276,8,142,134,117,213,225,128,177,112,,Pink Smooth,Jazzy Vibes,Violet Fossil,Pink Bow,Pink Frame,Orange Puff
5917,Unlocked,Adult,Crystal,1,1638703638,8,117,117,171,112,180,210,134,129,,Pink Shatter,Pearly Whites,Pink Spiral,Turquoise Pattern,Turquoise Shine,Purple Node
5954,Unlocked,Adult,Candy,1,1638703922,8,136,117,178,140,123,194,178,145,,Pink Sprinkles,Sugary Slyness,Caramel Chocolate,Caramel Chocolate,Caramel Chocolate,Pink Whip
5415,Unlocked,Adult,Flower,1,1638699843,7,148,134,278,156,128,170,117,169,,Green Meadow,Stout Determined,Green Poppy,Autumn Leaf,Red Bark,Red Leaf
6057,Unlocked,Adult,Moon,1,1638703654,8,123,123,202,134,163,118,134,183,,Green Laser,Cosmic Cheer,Bronze Antenna,Green Moonspot,Yellow Moonrock,Green Moonrock
5695,Unlocked,Adult,Candy,1,1638703774,8,169,134,208,134,112,189,145,123,,Pink Sprinkles,Sugary Slyness,Caramel Chocolate,Mint Chocolate,Mint Chocolate,Mint Chocolate
5697,Unlocked,Adult,Flower,1,1638703776,8,112,112,203,200,134,134,123,191,,Brown Oak,Stout Determined,Pink Pollen,Green Oak,Green Blade,Green Leaf
5826,Unlocked,Adult,Heart,1,1638703460,8,118,112,123,201,165,123,176,134,,Lavender Smooth,Haughty Huff,Yellow Rune,Turquoise Stripe,Purple Cowlick,Violet Braid
5531,Unlocked,Adult,Cloud,1,1638700403,8,271,211,123,224,134,123,161,112,,Bright Lightning,Dumping Raincloud,Golden Sun,Fluffy Snow,Spikey Ice,Shatter Ice
6018,Unlocked,Adult,Cloud,1,1638703550,8,184,161,123,198,112,128,170,117,,Day Rain,Dumping Raincloud,Dark Lightning,Thunder Storm,White Cloud,Shatter Ice
5744,Unlocked,Adult,Crystal,1,1638703710,8,145,140,179,112,189,249,134,118,Single Mythic,Pink Pattern,Crystal Anger,Purple Node,Dark Crystal,Pink Spikes,Turquoise Geode
6050,Unlocked,Adult,Candy,1,1638703876,8,169,123,183,117,112,215,187,112,,Blueberry Swirl,Sweet Beaming,Strawberry Icecream,Mint Chocolate,Sweet Treat,Chocolate Bar
5981,Unlocked,Adult,Flower,1,1638703198,8,169,134,171,165,112,143,123,168,,Orange Blossom,Stout Determined,Green Poppy,Orange Blossom,Yellow Blade,Green Leaf
5757,Unlocked,Adult,Moon,1,1638703580,8,117,128,197,112,158,135,134,155,,Green Laser,Other-Worldly Charm,Purple Alien,Blue Laser,Yellow Crater,Orange Moonrock
5711,Unlocked,Adult,Cloud,1,1638704842,7,171,174,128,164,117,128,175,128,,Fluffy Snow,Dumping Raincloud,Solid Ice,Ground Storm,Gray Cloud,Gray Cloud
5512,Unlocked,Adult,Crystal,1,1638700037,7,117,112,164,123,151,218,123,169,,Pink Pattern,Crystal Anger,Pink Tower,Purple Stone,Purple Cascade,Purple Node
5696,Unlocked,Adult,Cloud,1,1638703776,8,200,158,134,179,117,123,149,134,,Day Ice,Dumping Raincloud,Dark Lightning,Ground Storm,Blue Cloud,Shatter Ice
5791,Unlocked,Adult,Crystal,1,1638703528,8,112,134,182,134,200,240,123,129,,Turquoise Pattern,Crystal Anger,Purple Needle,Pink Stone,Turquoise Shine,Pink Pearl
5935,Unlocked,Adult,Flower,1,1638703662,8,184,140,210,138,117,211,134,150,,Brown Meadow,Blossoming Smile,Yellow Thorn,Calming Meadow,Red Bark,Yellow Needle
6043,Unlocked,Adult,Cloud,1,1638703604,8,214,182,128,177,134,140,130,145,,Day Ice,Stormy Horizon,Fragmented Ice,Thunder Storm,Gray Cloud,Dark Cloud
5822,Unlocked,Adult,Flower,1,1638703260,8,149,123,195,172,117,183,112,150,,Spring Leaf,Shady Sad,Red Pollen,Autumn Leaf,Red Frond,Yellow Needle
5995,Unlocked,Adult,Flower,1,1638704010,7,170,128,182,165,112,177,117,150,,Brown Meadow,Blossoming Smile,Green Poppy,Red Oak,Green Frond,Pink Bloom
5653,Unlocked,Adult,Heart,1,1638704286,7,166,112,134,248,157,128,200,117,,Pink Bow,Placid Mask,Violet Rune,Turquoise Stripe,Sunny Braid,Red Plushy
5859,Unlocked,Adult,Heart,1,1638704382,7,130,134,117,197,172,117,183,112,,Turquoise Stripe,Placid Mask,Yellow Whisp,Pink Stripe,Pink Frame,Pink Braid
15769,Unlocked,Baby,Heart,0,0,0,148,98,98,180,143,103,177,94,,Pink Bow,Radiant Joy,Pink Whisp,Pink Spot,Purple Frame,Pink Puff
5528,Unlocked,Adult,Flower,1,1638700087,7,170,112,270,156,112,142,123,169,,Green Blossom,Stout Determined,Pink Pollen,Green Blossom,Green Blade,Yellow Needle
14756,Unlocked,Egg,Flower,0,,,,,,,,,,,,,,,,,
20193,Unlocked,Egg,Heart,0,,,,,,,,,,,,,,,,,
5440,Unlocked,Adult,Moon,1,1638700965,7,112,128,257,112,191,124,128,198,,Blue Moonspot,Cosmic Cheer,Bronze Antenna,Gray Laser,Blue Flame,Orange Moonrock
5701,Unlocked,Adult,Heart,1,1638704146,7,142,123,112,226,150,128,163,128,,Pink Spot,Radiant Joy,Violet Fossil,Green Bow,Pink Braid,Purple Plushy
5746,Unlocked,Adult,Heart,1,1638704222,7,143,134,140,180,195,123,170,128,,Pink Bow,Jazzy Vibes,Green Mop,Lavender Smooth,Adorbs Braid,Purple Wizard
5582,Unlocked,Adult,Moon,1,1638700863,8,112,128,187,145,145,148,128,178,,Red Laser,Vexed Voltage,Silver Orbital,Gray Laser,Gray Crater,Bronze Antenna
5925,Unlocked,Adult,Flower,1,1638704906,7,200,112,250,156,151,160,112,183,,Green Meadow,Stout Determined,Brown Thorn,Calming Meadow,Red Bark,Red Bush
5817,Unlocked,Adult,Flower,1,1638703386,8,172,134,207,165,112,189,140,156,,Green Blossom,Stout Determined,Yellow Thorn,Green Oak,Brown Bark,Red Bush
5873,Unlocked,Adult,Crystal,1,1638704270,7,140,128,210,112,138,169,128,156,,Turquoise Pattern,Pearly Whites,Turquoise Spiral,Night Gem,Turquoise Shine,Pink Pearl
5526,Unlocked,Adult,Moon,1,1638700079,7,117,123,222,123,176,177,112,231,,Orange Moonrock,Blasting Boldness,Blue Eye,Blue Moonspot,Blue Tentacle,Gray Crater
5789,Unlocked,Adult,Crystal,1,1638704436,7,140,123,224,123,162,242,123,184,,Pink Shatter,Pearly Whites,Pink Tower,Purple Shatter,Turquoise Shine,Purple Node
5552,Unlocked,Adult,Heart,1,1638700149,7,142,123,117,235,208,117,219,123,Single Mythic,Green Bow,Radiant Joy,Violet Fossil,Pink Bow,Ultimate Princess,Pink Braid
